Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
GROWTH MANAGEMENT CONSULTING CC,0,YES Administrator,25-06-2019 10:57:24,February,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
SPHESIHLE CONSTRUCTION AND PROJECTS CC,2750,YES Administrator,25-06-2019 11:48:01,February,207,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
MASTER DRILLING EXPLORATION (PTY)LTD,245000000,YES Administrator,25-06-2019 13:21:23,December,10,Registered,yes,In-House 5000,31-05-2019,no,On Track - July 2019,yes,NA,NA,0
SYDSEN RECRUIT (PTY)LTD,0,YES Administrator,25-06-2019 16:40:01,February,0,Calculating for BBBEE,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
SMART OFFICE CONNEXION GAUTENG (PTY)LTD,962967151,YES Administrator,26-06-2019 10:20:31,March,30,Registered,yes,In-House 5000,28-03-2019,no,On - Track August 2019,yes,NA,NA,0
CYBERNEFIE SOUL (PTY)LTD,0,YES Administrator,26-06-2019 10:44:20,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ENDURANCE CONSULTING (PTY)LTD,0,YES Administrator,26-06-2019 11:31:49,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
GAS ACCOUNTING (PTY)LTD,3600000,YES Administrator,26-06-2019 12:18:37,February,2,Registered,yes,NA,01-08-2019,no,On - Track August 2019,no,NA,NA,0
KLB ENGINEERING (PTY)LTD,70970000,Leseli Lolwana,26-06-2019 12:52:16,June,6,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
WE-EVOLVE (PTY)LTD,13126938,YES Administrator,26-06-2019 13:05:11,February,1,Registered,yes,Small Biz 1700,01-09-2019,no,On Track - July 2019,no,NA,NA,0
MASHELA PROPERTY MANAGEMENT (PTY)LTD,0,YES Administrator,26-06-2019 14:33:37,December,0,Calculating for BBBEE,no,NA,NA,no,NA,no,NA,NA,0
MEGA BAGS (PTY)LTD,0,YES Administrator,26-06-2019 15:08:41,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
K2015351543 SOUTH AFRICA (PTY)LTD,0,YES Administrator,26-06-2019 16:36:14,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
SPOTLITE MARKETING CC,0,YES Administrator,26-06-2019 17:49:30,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
BIDVEST SERVICES (PTY)LTD,0,Zintle Raziya,26-06-2019 21:36:49,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
CRESCER GROUP (PTY)LTD,2000000,YES Administrator,27-06-2019 10:19:13,March,2,Registered,yes,NA,NA,no,NA,no,NA,NA,0
MAPEYI PROPERTY FUND (PTY)LTD,92000,YES Administrator,28-06-2019 07:15:59,February,0,Registered,no,In-House Assist 7000,01-08-2019,no,Potential Host,no,NA,NA,0
RAMSAY MEDIA (PTY)LTD,50000000,YES Administrator,28-06-2019 13:48:06,June,6,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
HIGHBURY MEDIA (PTY)LTD,150000000,YES Administrator,28-06-2019 14:28:34,June,9,Registered,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
THOKA GEOSCIENCES (PTY)LTD,30000000,YES Administrator,28-06-2019 20:59:16,February,2,Awaiting Pledge and Payment,yes,NA,NA,no,Potential Host,no,NA,NA,0
UMBIMBI PROJECTS (PTY)LTD,0,YES Administrator,30-06-2019 22:05:05,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
TPN GROUP (PTY)LTD,0,YES Administrator,01-07-2019 09:25:54,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
UKUKHANYA KWENSTHA DEVELOPMENT SERVICES (PTY)LTD,0,YES Administrator,01-07-2019 11:10:19,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
H AND M LININGS (PTY)LTD,0,YES Administrator,01-07-2019 13:29:45,October,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
XTENSIVE ICT ACADEMY (PTY)LTD,0,YES Administrator,01-07-2019 14:11:24,February,0,Calculating for BBBEE,no,NA,NA,no,Potential Host,no,NA,NA,0
A5 COMPETENCE EVOLUTION (PTY)LTD,0,YES Administrator,01-07-2019 14:47:24,February,0,Adding Business Details,no,NA,NA,no,Archived,no,NA,NA,0
SWOBY INTERNET CAFE AND PROJECTS CC,0,YES Administrator,02-07-2019 00:15:41,August,0,Awaiting Pledge,yes,NA,NA,no,Potential Host,no,NA,NA,0
OMAZ PROJECTS (PTY)LTD,0,YES Administrator,02-07-2019 02:34:40,June,0,Adding Business Details,no,NA,NA,no,Archived,no,NA,NA,0
DONT LOOK DOWN ENTERTAINMENT (PTY)LTD,62298121,YES Administrator,02-07-2019 15:24:07,February,12,Registered,yes,In-House 5000,30-09-2020,no,NA,yes,NA,NA,0
MACHEKA PHUTI PROJECTS (PTY)LTD,0,YES Administrator,02-07-2019 15:25:18,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
TANDO BUSINESS SOLUTIONS (PTY)LTD,5400000,YES Administrator,03-07-2019 08:53:45,February,0,Registered,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
KURA-BAHATI CONSULTING SERVICES CC,0,YES Administrator,03-07-2019 11:40:02,February,0,Awaiting Payment,no,NA,NA,no,NA,no,NA,NA,0
UNIVERSAL HEALTHCARE ADMINISTRATORS (PTY)LTD,79181964,YES Administrator,03-07-2019 16:12:35,February,7,Registered,yes,In-House 5000,08-07-2019,no,On Track - July 2019,no,NA,NA,0
AFGRI OPERATIONS (PTY)LTD,0,YES Administrator,04-07-2019 12:15:09,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
ILIFA CONSULTING (PTY)LTD,0,YES Administrator,04-07-2019 13:20:07,February,0,Awaiting Pledge,no,NA,NA,no,Potential Host,no,NA,NA,0
STATPRO SOUTH AFRICA (PTY)LTD,30000000,YES Administrator,04-07-2019 14:37:01,December,4,Awaiting Pledge and Payment,yes,NA,NA,no,NA,no,NA,NA,0
DPM CYBERLAB (PTY)LTD,0,YES Administrator,04-07-2019 17:11:12,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
UIS ORGANIC LABORATORY (PTY)LTD,19159053,YES Administrator,04-07-2019 18:53:35,June,1,Registered,yes,Small Biz 1700,01-08-2019,no,On Track - July 2019,yes,NA,NA,0
COLLEGE FOR BUSINESS AND MARITIME STUDIES (PTY)LTD,0,YES Administrator,05-07-2019 12:17:51,December,0,Calculating for BBBEE,no,NA,NA,no,NA,no,NA,NA,0
CITY LODGE HOTELS LTD,1500000000,YES Administrator,05-07-2019 12:18:47,June,6,Registered,no,In-House 5000,17-06-2019,no,On - Track August 2019,yes,NA,NA,0
GROUPFIN HOLDINGS (PTY)LTD,0,YES Administrator,05-07-2019 12:33:53,NA,0,Initial Signup,no,NA,NA,no,On Hold - Restructuring Organisation,no,NA,NA,0
DON FLAMINGO (PTY)LTD,0,YES Administrator,05-07-2019 17:20:15,December,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
AFGRI GROUP HOLDINGS (PTY)LTD,12000000000,YES Administrator,08-07-2019 10:48:58,March,62,Registered,yes,In-House 5000,01-07-2019,no,On Track - July 2019,no,NA,NA,0
ISCAR SOUTH AFRICA (PTY)LTD,0,YES Administrator,08-07-2019 11:04:11,December,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
ARRIS SOUTH AFRICA (PTY)LTD,1000000000,YES Administrator,08-07-2019 12:28:47,December,15,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
DYNAMIC BODY TECHNOLOGY (PTY)LTD,50000,YES Administrator,09-07-2019 02:46:15,February,0,Registered,no,Small Biz 1700,01-07-2019,no,NA,no,NA,NA,0
CONTACT IQ (PTY)LTD,751000,YES Administrator,09-07-2019 07:24:44,February,1,Registered,yes,Small Biz 1700,01-08-2019,no,On Track - July 2019,yes,NA,NA,0
VMMN GEOSPATIAL CONSULTANTS (PTY)LTD,0,YES Administrator,09-07-2019 21:45:06,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
MQOSWA PROJECT AND TRADING (PTY)LTD,0,YES Administrator,09-07-2019 22:28:18,June,0,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
THE BUSINESS RESULTS GROUP (PTY)LTD,0,YES Administrator,10-07-2019 11:16:55,December,0,Calculating for BBBEE,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
SEBETSA COMMODITIES (PTY)LTD,539396245,YES Administrator,10-07-2019 12:14:14,February,30,Registered,yes,In-House 5000,01-08-2019,no,On Track - July 2019,yes,NA,NA,0
INSPIREDEX (PTY)LTD,0,YES Administrator,10-07-2019 12:16:09,February,0,Calculating for BBBEE,yes,NA,NA,no,On Hold - Other,no,NA,NA,0
PROUDLY SOUTH AFRICAN,49000000,YES Administrator,10-07-2019 12:37:52,March,2,Registered,yes,Small Biz 1700,02-09-2019,no,On - Track August 2019,yes,NA,NA,0
MOVING TACTICS (PTY)LTD,0,YES Administrator,10-07-2019 13:44:20,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SMTAX GROUP (PTY)LTD,8000000,YES Administrator,10-07-2019 15:23:06,February,4,Awaiting Pledge,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
USHINTSHO CONSULTING (PTY)LTD,0,YES Administrator,10-07-2019 18:40:34,February,0,Calculating for BBBEE,yes,NA,NA,no,On Hold - Restructuring Organisation,no,NA,NA,0
COEGA DEVELOPMENT CORPORATION (PTY)LTD,0,YES Administrator,11-07-2019 08:56:26,March,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
SENSEPOST (PTY)LTD,51079647,YES Administrator,11-07-2019 10:24:59,July,6,Registered,yes,NA,NA,no,On Track - July 2019,yes,NA,NA,0
ADVANCE INTERNATIONAL BUSINESS DEVELOPMENT (PTY)LTD,0,YES Administrator,11-07-2019 11:11:58,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
KNOWLEDGE QUEST (PTY)LTD,0,YES Administrator,11-07-2019 11:31:41,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
SFI GROUP (PTY)LTD,0,YES Administrator,11-07-2019 12:57:09,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SILICON BURG INTERNATIONAL (PTY)LTD,0,YES Administrator,11-07-2019 17:24:28,September,0,Calculating for BBBEE,no,NA,NA,no,NA,no,NA,NA,0
MOSCHI PROJECTS (PTY)LTD,0,YES Administrator,12-07-2019 07:34:42,August,0,Calculating for BBBEE,no,NA,NA,no,NA,no,NA,NA,0
BOIPELO BOTLE (PTY)LTD,10000,YES Administrator,12-07-2019 10:35:52,February,0,Awaiting Pledge,no,NA,NA,no,Archived,no,NA,NA,0
SIYAKHOLWA DEVELOPMENT FOUNDATION,0,YES Administrator,12-07-2019 13:10:47,March,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
LEZMIN 2934 CC,0,YES Administrator,13-07-2019 12:58:34,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
EXSERLLER PERSEVERARRE TRADING ENTERPRISE (PTY)LTD,10000,YES Administrator,14-07-2019 05:23:28,February,789,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
AS WE SERVE CONSTRUCTION WORX (PTY)LTD,0,YES Administrator,15-07-2019 08:18:45,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
UBUNYE UNIFORMS (PTY)LTD,0,YES Administrator,15-07-2019 11:56:22,February,0,Calculating for BBBEE,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
AFMS GROUP (PTY)LTD,0,YES Administrator,15-07-2019 12:24:00,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
LEO GARMENTS (PTY)LTD,0,YES Administrator,15-07-2019 13:47:43,February,0,Calculating for BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
ADVANTAGE  MOTOR PROTECTOR (PTY)LTD,28455000,YES Administrator,15-07-2019 13:55:32,February,2,Registered,yes,In-House 5000,01-08-2019,no,On - Track August 2019,no,NA,NA,0
ABBOTT LABORATORIES SOUTH AFRICA (PTY)LTD,1157204655,YES Administrator,15-07-2019 13:57:53,December,23,Awaiting Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
MEMEZA SHOUT (PTY)LTD,1395568,YES Administrator,15-07-2019 14:19:39,February,4,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
SINE METU CLEANING SERVICES (PTY)LTD,1000,YES Administrator,15-07-2019 14:41:10,February,1,Awaiting Pledge,no,NA,NA,no,Archived,no,NA,NA,0
MAMMBA CONSULTING (PTY)LTD,0,YES Administrator,15-07-2019 15:00:35,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
.EXPLORE SOFTWARE (PTY)LTD,31659037,YES Administrator,15-07-2019 16:09:31,February,2,Registered,yes,Small Biz 1700,01-08-2019,no,On Track - July 2019,yes,NA,NA,2
RHINO WALKING SAFARIS (PTY)LTD,0,YES Administrator,16-07-2019 10:02:18,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
XOKSI (PTY)LTD,60000,YES Administrator,16-07-2019 11:10:46,February,9078,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
ENERGIX SOLUTIONS (PTY)LTD,100000,YES Administrator,16-07-2019 15:57:04,February,1,Awaiting Pledge,yes,NA,NA,no,Potential Host,no,NA,NA,0
GUARDRISK ALLIED PRODUCTS AND SERVICES (PTY)LTD,0,YES Administrator,17-07-2019 09:53:28,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ELB EQUIPMENT HOLDINGS (PTY)LTD,987520000,YES Administrator,17-07-2019 10:46:55,June,30,Registered,yes,In-House 5000,01-06-2019,no,On Track - July 2019,no,NA,NA,0
ABSA BANK LTD,58916000000,YES Administrator,17-07-2019 13:40:53,December,50,Registered,no,In-House 3000,01-09-2019,no,On - Track August 2019,no,NA,NA,0
SOUTH OCEAN ELECTRIC WIRE COMPANY (PTY)LTD,1728365316,YES Administrator,17-07-2019 15:22:21,December,15,Registered,yes,NA,04-08-2019,no,On - Track August 2019,no,NA,NA,0
RISK DIVERSION DIGITAL (PTY)LTD,0,YES Administrator,17-07-2019 16:12:01,February,0,Awaiting Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
WESTVAAL MOTOR HOLDINGS (PTY)LTD,0,YES Administrator,18-07-2019 10:04:29,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
MOBILE TELEPHONE NETWORKS (PTY)LTD,44600000000,T M,18-07-2019 10:38:38,December,712,Registered,yes,NA,NA,no,On Track - July 2019,yes,NA,NA,186
FORMENTCO CONSULTANTS (PTY)LTD,0,YES Administrator,18-07-2019 11:10:19,August,0,Calculating for BBBEE,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
LIFE AIMER PRODUCTIONS (PTY)LTD,50,YES Administrator,18-07-2019 13:43:57,February,3,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
LITTLE PIG CC,2000000,YES Administrator,18-07-2019 15:28:21,February,2,Registered,yes,Small Biz 1700,02-09-2019,no,On - Track August 2019,yes,NA,NA,0
DIGITAL BROADCAST HUB (PTY)LTD,0,YES Administrator,19-07-2019 00:51:26,March,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
LVM WOODEN AND ALLEY FURNITURE MANUFACTURING SUPPLY PRIMARY CO-OPERATIVE LIMITED,0,YES Administrator,19-07-2019 08:59:15,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
HUMAN CAPITAL LEARNING SOLUTIONS (PTY) LTD,1769056,YES Administrator,19-07-2019 10:17:49,February,3,Awaiting Pledge,no,NA,NA,no,NA,no,NA,NA,0
MOSADI BOGALE CONSULTING (PTY)LTD,0,YES Administrator,19-07-2019 12:15:56,February,0,Calculating for BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
MULTI ROOMS MANAGEMENT (PTY)LTD,75000000,YES Administrator,19-07-2019 18:40:08,February,6,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
CYANRE THE DIGITAL FORENSIC LAB (PTY)LTD,24000000,YES Administrator,20-07-2019 16:42:58,February,2,Awaiting Pledge and Payment,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
MUSIC MAKES ME (PTY)LTD,0,YES Administrator,21-07-2019 06:08:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
SN MATUKS ELECTRICAL CONSTRUCTION (PTY)LTD,500000,YES Administrator,21-07-2019 22:06:24,February,1,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
SAVARA ADVISORY (PTY)LTD,0,YES Administrator,22-07-2019 13:02:46,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
TNA PACKAGING SYSTEMS SOUTH AFRICA (PTY)LTD,0,YES Administrator,22-07-2019 13:47:53,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ASLA KONSTRUKSIE (PTY)LTD,0,YES Administrator,22-07-2019 16:35:14,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
COMBINED PRIVATE INVESTIGATIONS CC,194115208,YES Administrator,23-07-2019 10:08:25,February,20,Registered,yes,In-House 5000,01-10-2019,no,On - Track August 2019,yes,NA,NA,0
QUAZAR MARKETING AND COMMUNICATION (PTY)LTD,0,YES Administrator,23-07-2019 10:40:36,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
JUMP START PEOPLE SOLUTIONS (PTY)LTD,0,YES Administrator,23-07-2019 10:56:14,June,0,Calculating for BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
GRAND GAMING GAUTENG RF (PTY)LTD,0,YES Administrator,23-07-2019 11:52:30,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
RED IT (PTY)LTD,0,YES Administrator,23-07-2019 16:01:10,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Archived,no,NA,NA,0
ORIGIN FITNESS (PTY)LTD,0,YES Administrator,23-07-2019 17:36:39,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
KORNER PERSPECTIVE (PTY)LTD,3600000,YES Administrator,24-07-2019 08:26:48,February,1,Awaiting Payment,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
LEGAE PERESEC (PTY)LTD,1,YES Administrator,24-07-2019 11:25:42,March,2,Awaiting Pledge,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
BHELELA TECHNOLOGIES (PTY)LTD,1000,YES Administrator,24-07-2019 11:49:14,February,145,Awaiting Pledge,no,NA,NA,no,Archived,no,NA,NA,0
FLEXTRA ENGINEERED PRODUCTS (PTY)LTD,0,YES Administrator,24-07-2019 14:45:34,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SONKE PHARMACEUTICALS (PTY)LTD,1195387726,YES Administrator,24-07-2019 17:05:17,July,38,Registered,yes,In-House 5000,25-07-2019,no,On Track - July 2019,yes,NA,NA,0
JUMPCO CONSULTING (PTY)LTD,0,YES Administrator,24-07-2019 22:09:03,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
BENTLEY CREDIT CONTROL (PTY)LTD,9250000,YES Administrator,25-07-2019 14:38:36,February,4,Registered,yes,Small Biz 1700,02-09-2019,no,On - Track August 2019,yes,NA,NA,0
DORRINGTON MATTHEE CONSULTING CC,0,YES Administrator,25-07-2019 15:46:01,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
SOLUGROWTH (PTY)LTD,148235893,YES Administrator,26-07-2019 09:03:59,March,8,Registered,yes,NA,01-08-2019,no,On - Track August 2019,no,NA,NA,0
INDEPENDENT ALTERNATIVES INVESTMENT MANAGERS (PTY)LTD,0,YES Administrator,26-07-2019 10:48:24,NA,0,Initial Signup,no,NA,NA,no,On Track - July 2019,no,NA,NA,0
MUHU CAPITAL (PTY)LTD,0,YES Administrator,26-07-2019 11:03:03,December,0,Calculating for BBBEE,yes,NA,NA,no,Potential Host,no,NA,NA,0
LENIVECT (PTY)LTD,7500000,YES Administrator,26-07-2019 11:58:44,February,1,Awaiting Pledge,no,NA,NA,no,On Hold - Other,no,NA,NA,0
HERBERT SMITH FREEHILLS SOUTH AFRICA LLP INCORPORATED IN  ENGLANDWALES,0,YES Administrator,26-07-2019 12:10:56,April,0,Adding Business Details,yes,NA,NA,no,On Track - July 2019,no,NA,NA,0
TRADEWINDS PARASOL (PTY)LTD,49500000,YES Administrator,26-07-2019 12:27:19,August,12,Registered,yes,In-House 5000,19-08-2019,no,On - Track August 2019,yes,NA,NA,2
TRYSOME AUTO ELECTRICAL ENGINEERING (PTY)LTD,478000000,YES Administrator,26-07-2019 12:35:46,February,15,Registered,yes,In-House 5000,30-07-2019,no,On Track - July 2019,yes,NA,NA,0
CASHBUILD SOUTH AFRICA (PTY)LTD,8475222719,YES Administrator,26-07-2019 12:55:23,June,109,Registered,yes,In-House 5000,01-10-2019,no,On - Track August 2019,yes,NA,NA,0
DYNAMIC VISION TEAM BUILDING CC,0,YES Administrator,26-07-2019 13:21:41,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
S J P FINANCIAL SERVICES CC,42956153,YES Administrator,26-07-2019 13:32:42,February,5,Registered,yes,NA,NA,no,Archived,no,NA,NA,0
FDP ADMINISTRATION SERVICES (PTY)LTD,0,YES Administrator,26-07-2019 14:28:24,February,0,Calculating for Non-BBBEE,no,NA,NA,no,NA,no,NA,NA,0
BONMAS CONSULTING (PTY)LTD,0,YES Administrator,28-07-2019 10:02:53,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
TESEMA GROUP (PTY)LTD,0,YES Administrator,28-07-2019 12:45:15,February,0,Awaiting Payment,no,NA,NA,no,Potential Host,no,NA,NA,0
MACROBERT INC,0,YES Administrator,29-07-2019 09:38:20,February,0,Registered,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
TORCH SERVICES (PTY)LTD,0,YES Administrator,29-07-2019 09:45:04,July,0,Awaiting Pledge,no,NA,NA,no,On - Track August 2019,no,NA,NA,0
BRANDS ON PARASOLS AND SIGNS (PTY)LTD,9500000,YES Administrator,29-07-2019 11:39:35,August,2,Registered,yes,Small Biz 1700,19-08-2019,no,On Track - July 2019,yes,NA,NA,0
RobynTest,0,YES Administrator,29-07-2019 11:45:26,February,0,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
SHELVCRAFT CC,0,YES Administrator,29-07-2019 16:08:29,February,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
THE FRUIT CUBE (PTY)LTD,0,YES Administrator,29-07-2019 16:41:11,February,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SKILLS 4 YOU AND DEVELOPMENT CENTRE (PTY)LTD,0,YES Administrator,30-07-2019 08:04:12,February,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
XYLEM WATER SOLUTIONS SOUTH AFRICA (PTY)LTD,497206242,YES Administrator,30-07-2019 10:50:30,December,15,Registered,yes,In-House 5000,05-08-2019,no,On - Track August 2019,yes,NA,NA,0
METTLE PETROLEUM (PTY)LTD,0,YES Administrator,30-07-2019 14:27:18,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Potential Host,no,NA,NA,0
LOGOS ENERGY PROVIDERS (PTY)LTD,250000,YES Administrator,30-07-2019 15:59:54,March,158,Awaiting Pledge,yes,NA,NA,no,Archived,no,NA,NA,0
EXOVA JONES ENVIRONMENTAL SOUTH AFRICA (PTY)LTD,0,YES Administrator,30-07-2019 16:07:38,December,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
LABOURNET HOLDINGS (PTY)LTD,0,YES Administrator,30-07-2019 20:04:21,December,0,Calculating for BBBEE,yes,NA,NA,no,NA,no,NA,NA,0
IMCD SOUTH AFRICA (PTY)LTD,900000000,YES Administrator,30-07-2019 21:47:59,December,17,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
NATURE'S ENVIRONMENTAL AGENCY (PTY)LTD,880322,YES Administrator,31-07-2019 09:55:08,February,1,Awaiting Payment,yes,NA,NA,no,Potential Host,no,NA,NA,0
APPAREL INDUSTRIES (PTY)LTD,0,YES Administrator,31-07-2019 09:58:07,December,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
SHORAM SOLUTIONS (PTY)LTD,0,YES Administrator,31-07-2019 09:59:15,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
UMVUZO TRAINING (PTY)LTD,100000,YES Administrator,31-07-2019 12:29:15,January,20,Awaiting Pledge,no,NA,NA,no,Archived,no,NA,NA,0
ITERATE CONSULTING CC,0,YES Administrator,31-07-2019 12:52:48,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
DCISIO CONSULTING (PTY)LTD,0,YES Administrator,31-07-2019 12:58:30,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
LIBSTAR OPERATIONS (PTY)LTD,0,Marc Ashton,31-07-2019 14:08:37,December,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
GLORY BIBLE CHURCH OF GOD (PTY)LTD,0,YES Administrator,31-07-2019 14:24:46,NA,0,Initial Signup,no,NA,NA,no,NA,no,NA,NA,0
DEW CRISP (PTY)LTD,0,YES Administrator,31-07-2019 15:29:06,August,0,Registered,yes,Small Biz 1700,01-08-2019,no,On - Track August 2019,yes,NA,NA,14
SHANDU AGRI PROJECT (PTY)LTD,0,YES Administrator,31-07-2019 20:54:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
DOT KAM PROJECTS AND SERVICES (PTY)LTD,0,YES Administrator,31-07-2019 22:15:05,February,0,Calculating for Non-BBBEE,no,NA,NA,no,Potential Host,no,NA,NA,0
CHALLENGE IT CC,24000000,YES Administrator,01-08-2019 09:13:31,February,2,Awaiting Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
VALAN INTERNATIONAL CARGO CHARTER SA (PTY)LTD,19111742,YES Administrator,01-08-2019 11:35:48,February,1,Registered,yes,Small Biz 1700,03-06-2019,yes,On - Track August 2019,no,NA,NA,0
ADEPT ADVISORY (PTY)LTD,83076279,YES Administrator,01-08-2019 11:44:54,December,7,Awaiting Pledge and Payment,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
VUKHETA RISK SERVICES (PTY)LTD,1200000,YES Administrator,01-08-2019 15:17:10,February,1,Awaiting Pledge,yes,NA,NA,no,Potential Host,no,NA,NA,0
SRF FLEXIPAK SOUTH AFRICA (PTY)LTD,827518355,YES Administrator,01-08-2019 16:06:32,March,19,Registered,yes,In-House 5000,01-08-2019,no,On - Track August 2019,no,NA,NA,0
